status,type,N1,N2,N3,C1,C2,C3,C4,time,X,X0,X1,X2,X3,X4,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29
Declined,2,-1.706886332,-0.72279857,0.743087473,0,1,1,,10/27/2019 10:44,pending,H,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Declined,3,-1.706886332,-0.853503556,0.641749421,0,1,1,,10/30/2019 15:04,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Declined,2,-1.706886332,-0.984208541,0.337735266,0,1,1,,11/1/2019 21:18,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Declined,3,-1.706886332,-1.507028483,0.03372111,0,1,1,,11/1/2019 9:24,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,2,-1.706886332,-1.376323498,0.540411369,0,1,1,,10/1/2019 9:42,pending,H,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,1,-1.706886332,-1.114913527,-0.878321356,135000,315000,180000,,8/1/2019 19:56,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,1,-1.706886332,-0.592093585,-0.979659408,92000,184000,92000,,7/16/2019 13:42,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,1,-1.706886332,-0.069273642,-0.675645252,0,500000,500000,,8/14/2019 22:35,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Approved,1,-1.706886332,-1.507028483,0.135059162,200000,300000,100000,,10/1/2019 16:47,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,1,-1.706886332,-1.454746489,-1.68902577,0,57000,57000,,8/11/2019 11:03,pending,H,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,1,-1.706886332,-2.003707429,-0.979659408,0,489000,489000,,8/7/2019 9:18,pending,H,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,1,-1.706886332,-1.141054524,0.337735266,100000,200000,100000,,9/21/2019 12:11,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,1,-1.706886332,-1.245618512,1.14843968,50000,90000,40000,,10/2/2019 12:37,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,1,-1.706886332,-1.141054524,-0.371631097,50000,250000,200000,,9/3/2019 9:00,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,1,-1.706886332,-1.637733469,-1.385011615,0,84000,84000,,9/23/2019 20:20,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,1,-1.706886332,-2.212835405,-1.486349667,0,35000,35000,,8/29/2019 19:18,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
